StoreKey,Country,State,Square Meters,Open Date
1,Australia,Australian Capital Territory,595,1/1/08
2,Australia,Northern Territory,665,1/12/08
3,Australia,South Australia,2000,1/7/12
4,Australia,Tasmania,2000,1/1/10
5,Australia,Victoria,2000,12/9/15
6,Australia,Western Australia,2000,1/1/10
7,Canada,New Brunswick,1105,5/7/07
8,Canada,Newfoundland and Labrador,2105,7/2/14
9,Canada,Northwest Territories,1500,3/4/05
10,Canada,Nunavut,1210,4/4/15
11,Canada,Yukon,1210,6/3/09
12,France,Basse-Normandie,350,6/6/12
13,France,Corse,245,6/7/13
14,France,Franche-Comté,350,12/15/09
15,France,La Réunion,400,1/1/15
16,France,Limousin,385,6/3/10
17,France,Martinique,350,7/8/07
18,France,Mayotte,310,8/8/12
19,Germany,Berlin,1295,4/4/15
20,Germany,Brandenburg,1715,12/15/12
21,Germany,Freie Hansestadt Bremen,560,6/3/18
22,Germany,Freistaat Thüringen,2000,3/6/08
23,Germany,Hamburg,1365,1/1/10
24,Germany,Hessen,1855,12/15/12
25,Germany,Mecklenburg-Vorpommern,1610,1/1/10
26,Germany,Saarland,350,3/5/19
27,Germany,Sachsen-Anhalt,2000,8/8/08
28,Italy,Caltanissetta,1200,12/15/12
29,Italy,Enna,1000,1/1/08
30,Italy,Pesaro,2100,1/12/08
31,Netherlands,Drenthe,1085,1/7/12
32,Netherlands,Flevoland,910,1/1/10
33,Netherlands,Friesland,1540,12/9/15
34,Netherlands,Groningen,1365,1/1/10
35,Netherlands,Zeeland,1225,5/7/07
36,United Kingdom,Armagh,1300,7/2/14
37,United Kingdom,Ayrshire,2100,3/4/05
38,United Kingdom,Belfast,1800,4/4/15
39,United Kingdom,Blaenau Gwent,2100,6/3/09
40,United Kingdom,Dungannon and South Tyrone,1300,6/6/12
41,United Kingdom,Fermanagh,2100,6/7/13
42,United Kingdom,North Down,1900,12/15/09
43,United States,Alaska,1190,1/1/15
44,United States,Arkansas,2000,6/3/10
45,United States,Connecticut,2000,7/8/07
46,United States,Delaware,1015,8/8/12
47,United States,Hawaii,1120,4/4/15
48,United States,Idaho,1540,12/15/12
49,United States,Iowa,2000,6/3/18
50,United States,Kansas,2000,3/6/08
51,United States,Maine,1295,1/1/10
52,United States,Mississippi,2000,6/3/09
53,United States,Montana,1260,6/6/12
54,United States,Nebraska,2000,6/7/13
55,United States,Nevada,2000,12/15/09
56,United States,New Hampshire,1260,1/1/15
57,United States,New Mexico,1645,6/3/10
58,United States,North Dakota,1330,7/8/07
59,United States,Oregon,2000,8/8/12
60,United States,Rhode Island,1260,4/4/05
61,United States,South Carolina,2000,12/15/12
62,United States,South Dakota,1120,6/3/18
63,United States,Utah,2000,3/6/08
64,United States,Washington DC,1330,1/1/10
65,United States,West Virginia,1785,1/1/12
66,United States,Wyoming,840,1/1/14
0,Online,Online,,1/1/10